Unnamed: 0,Author,Category,Gender,Quote,Quote_tok,SA,num,count,counts
103,Christine de Pizan,philosophy,F,"La excelencia o la inferioridad de los seres no residen en sus cuerpos seg�n el sexo, sino en la perfecci�n de sus conductas y virtudes",La excelencia la inferioridad de los seres residen en sus cuerpos seg n el sexo sino en la perfecci n de sus conductas virtudes,0.0,,1,1
104,�milie Marquise du Ch�telet,philosophy,F,El amor al estudio es la pasi�n m�s necesaria para nuestra felicidad; es una fuente de placer inagotable,El amor al estudio es la pasi n necesaria para nuestra felicidad es una fuente de placer inagotable,0.6124,,1,1
105,Olympe de Gouges,philosophy,F,"Mujer, despierta, el llamamiento de la raz�n se hace o�r en todo el universo; reconoce tus derechos",Mujer despierta el llamamiento de la raz n se hace r en todo el universo reconoce tus derechos,0.0,,1,1
106,Mary Wollstonecraft,philosophy,F,"No deseo que las mujeres tengan poder sobre los hombres, sino sobre s� mismas",No deseo que las mujeres tengan poder sobre los hombres sino sobre mismas,-0.296,,1,1
107,Lou Andreas-Salom�,philosophy,F,"No puedo vivir conforme a ejemplos ni voy a representar jam�s un ejemplo para nadie, pero en cambio voy a darle forma a mi propia vida de acuerdo conmigo misma",No puedo vivir conforme ejemplos ni voy representar jam un ejemplo para nadie pero en cambio voy darle forma mi propia vida de acuerdo conmigo misma,-0.296,,1,1
108,Hannah Arendt,philosophy,F,No hay pensamientos peligrosos; el pensamiento es peligroso,No hay pensamientos peligrosos el pensamiento es peligroso,-0.296,,1,1
109,Simone de Beauvoir,philosophy,F,"No se nace mujer, se llega a serlo",No se nace mujer se llega serlo,-0.296,,1,1
110,Simone Weil,philosophy,F,Hay que realizar lo posible para alcanzar lo imposible,Hay que realizar lo posible para alcanzar lo imposible,0.0,,1,1
111,Emily Bront�,Literature,F,Terror made me crue,Terror made crue,-0.5267,,2,2
112,Margaret Atwood,Literature,F,We were the people who were not in the papers. We lived in the blank white spaces at the edges of print. It gave us more freedom. We lived in the gaps between the stories.,We people papers We lived blank white spaces edges print It gave us freedom We lived gaps stories,0.6369,,1,1
113,Charlotte Bront�,Literature,F,Life appears to me too short to be spent in nursing animosity or registering wrongs.,Life appears short spent nursing animosity registering wrongs,-0.4404,,2,2
114,Miguel de Cervantes Saavedra,Literature,M,"Finally, from so little sleeping and so much reading, his brain dried up and he went completely out of his mind",Finally little sleeping much reading brain dried went completely mind,0.0,,1,1
115,�Zora Neale Hurston,Literature,F,"She had waited all her life for something, and it had killed her when it found her.",She waited life something killed found,-0.6705,,1,1
116,Mary Shelley,Literature,F,Nothing is so painful to the human mind as a great and sudden change.,Nothing painful human mind great sudden change,0.296,,2,2
117,Patricia Highsmith,Literature,F,Perhaps it was freedom itself that choked her.,Perhaps freedom choked,0.2732,,1,1
118,Sylvia Plath,Literature,F,"I took a deep breath and listened to the old brag of my heart: I am, I am, I am",I took deep breath listened old brag heart I I I,0.0,,1,1
119,Margery Williams,Literature,F,"Generally, by the time you are Real, most of your hair has been loved off, and your eyes drop out and you get loose in the joints and very shabby. But these things don�t matter at all, because once you are Real you can�t be ugly, except to people who don�t understand.",Generally time Real hair loved eyes drop get loose joints shabby But things matter Real ugly except people understand,-0.4019,,1,1
120,Louisa May Alcott,Literature,F,"I am not afraid of storms, for I am learning how to sail my ship",I afraid storms I learning sail ship,0.0,,1,1
121,Daphne du Maurier,Literature,F,Last night I dreamt I went to Manderley again.,Last night I dreamt I went Manderley,0.0,,1,1
122,Jane Austen,Literature,F,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife",It truth universally acknowledged single man possession good fortune must want wife,0.6705,,4,4
123,�Margaret Mitchel,Literature,F,"Tomorrow I�ll think of some way to get him back. After all, tomorrow is another day",Tomorrow I think way get back After tomorrow another day,0.0,,1,1
124,�Jane Austen,Literature,F,"You pierce my soul. I am half agony. Half hope. Tell me not that I am too late, that such precious feelings are gone for ever",You pierce soul I half agony Half hope Tell I late precious feelings gone ever,0.5859,,2,2
125,�Donna Tartt,Literature,F,"I had the epiphany that laughter was light, and light was laughter, and that this was the secret of the universe",I epiphany laughter light light laughter secret universe,0.7506,,1,1
126,�Willa Cather,Literature,F,"There are some things you learn best in calm, and some in storm.",There things learn best calm storm,0.7579,,1,1
127,�Betty Smith,Literature,F,"From that time on, the world was hers for the reading. She would never be lonely again, never miss the lack of intimate friends. Books became her friends and there was one for every mood",From time world reading She would never lonely never miss lack intimate friends Books became friends one every mood,0.8378,,1,1
128,Nicole Krauss,Literature,F,"Once upon a time there was a boy who loved a girl, and her laughter was a question he wanted to spend his whole life answering.",Once upon time boy loved girl laughter question wanted spend whole life answering,0.7964,,1,1
